Region,Region code,Province,Province code,City/Municipality,City/Municipality code,Classification,Dentist,Doctor: Clinical,Medical Technologist,Midwife,Nurse,Nutritionist/ Dietician,Occupational Therapist,Pharmacist,Physical Therapist,Radiologic Technologist,X-ray Technologist,Grand Total
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,ADAMS,PH012801000,Public,0,1,0,3,4,0,0,0,0,0,0,8
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,BACARRA,PH012802000,Private,4,5,1,6,20,0,0,6,0,0,1,43
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,BACARRA,PH012802000,Public,2,1,1,10,3,0,0,0,0,0,0,17
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,BADOC,PH012803000,Private,0,0,0,0,0,0,0,8,0,0,0,8
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,BADOC,PH012803000,Public,0,1,0,8,6,0,0,0,0,0,0,15
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,BANGUI,PH012804000,Private,2,2,0,0,0,0,0,4,1,0,0,9
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,BANGUI,PH012804000,Public,2,4,4,11,19,1,0,1,0,0,0,42
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,BANNA (ESPIRITU),PH012811000,Private,0,0,0,0,0,0,0,1,0,0,0,1
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,BANNA (ESPIRITU),PH012811000,Public,0,1,1,7,3,0,0,0,0,0,0,12
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,CITY OF BATAC,PH012805000,Private,0,5,2,2,21,1,0,23,0,1,1,56
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,CITY OF BATAC,PH012805000,Public,2,59,25,31,205,4,0,16,8,8,0,358
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,BURGOS,PH012806000,Private,0,0,0,0,0,0,0,2,0,0,0,2
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,BURGOS,PH012806000,Public,0,0,0,1,0,0,0,0,0,0,0,1
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,CARASI,PH012807000,Public,0,0,0,2,1,0,0,0,0,0,0,3
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,CURRIMAO,PH012808000,Private,1,1,0,0,1,0,0,1,0,0,0,4
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,CURRIMAO,PH012808000,Public,0,1,0,4,3,0,0,0,0,0,0,8
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,DINGRAS,PH012809000,Private,0,1,0,0,0,0,0,12,0,0,0,13
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,DINGRAS,PH012809000,Public,0,5,1,18,13,1,0,1,0,0,0,39
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,DUMALNEG,PH012810000,Public,0,1,0,1,1,0,0,0,0,0,0,3
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,CITY OF LAOAG (CAPITAL),PH012812000,Private,3,19,13,4,89,0,0,40,0,2,0,170
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,CITY OF LAOAG (CAPITAL),PH012812000,Public,5,48,9,54,167,0,0,8,4,3,1,299
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,MARCOS,PH012813000,Private,0,5,1,2,5,1,0,1,1,0,0,16
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,MARCOS,PH012813000,Public,2,2,3,12,10,1,0,1,0,1,0,32
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,NUEVA ERA,PH012814000,Private,0,0,0,0,0,0,0,2,0,0,0,2
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,NUEVA ERA,PH012814000,Public,0,0,0,3,1,0,0,0,0,0,0,4
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,PAGUDPUD,PH012815000,Private,0,0,0,0,0,0,0,7,0,0,0,7
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,PAGUDPUD,PH012815000,Public,0,1,0,7,6,0,0,0,0,0,0,14
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,PAOAY,PH012816000,Private,1,0,0,0,0,0,0,5,0,0,0,6
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,PAOAY,PH012816000,Public,1,1,0,10,3,0,0,0,0,0,0,15
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,PASUQUIN,PH012817000,Private,1,3,1,0,0,0,0,5,0,0,0,10
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,PASUQUIN,PH012817000,Public,0,0,1,3,0,0,0,0,0,0,0,4
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,PIDDIG,PH012818000,Private,0,0,0,0,0,0,0,3,0,0,0,3
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,PIDDIG,PH012818000,Public,0,2,1,7,8,0,0,0,0,0,0,18
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,PINILI,PH012819000,Private,0,2,0,0,0,0,0,2,0,0,0,4
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,PINILI,PH012819000,Public,0,1,0,5,5,0,0,0,0,0,0,11
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,SAN NICOLAS,PH012820000,Private,0,6,4,1,12,0,0,15,0,0,1,39
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,SAN NICOLAS,PH012820000,Public,0,1,0,8,3,0,0,0,0,0,0,12
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,SARRAT,PH012821000,Private,0,0,0,0,0,0,0,3,0,0,0,3
